phrase1,phrase2,label
मैं,मैं,0
अभी,अभी,0
दूसरा,दूसरा,0
अब,अब,0
में,में,0
अब,अब,0
हूँ,हूँ,0
रहा,रहा,0
के,के,0
हैं,हैं,0
केले,केले,0
मैं,मैं,0
चालीस,चालीस,0
मैंने,मैंने,0
खानेमाने,खानेमाने,0
लिए,लिए,0
और,और,0
से,से,0
भी,भी,0
पड़,पड़,0
है,है,0
ना,ना,0
अब,अब,0
काम,काम,0
हमको,हमको,0
कि,कि,0
ये,ये,0
बोल,बोल,0
आपको,आपको,0
मान,मान,0
हाँ,हाँ,0
चलो,चलो,0
पहले,पहले,0
कितना,कितना,0
जाएगा,जाएगा,0
अट्ठास,अट्ठास,0
आप,आप,0
आप,आप,0
बनाके,बनाके,0
कुछ,कुछ,0
यहाँ,यहाँ,0
करवा,करवा,0
वो,वो,0
मैं,मैं,0
ज़रा,ज़रा,0
सर,सर,0
पे,पे,0
तो,तो,0
और,और,0
फिर,फिर,0
जी,जी,0
पूरे,पूरे,0
आते,आते,0
देखिए,देखिए,0
वहाँ,वहाँ,0
सकता,सकता,0
की,की,0
यहाँ,यहाँ,0
जाती,जाती,0
लगाती,लगाती,0
के,के,0
बाहर,बाहर,0
तक,तक,0
जाता,जाता,0
हूँ,हूँ,0
क्या,क्या,0
जो,जो,0
परिक्रमा,परिक्रमा,0
से,से,0
तो,तो,0
भी,भी,0
थी,थी,0
जाता,जाता,0
कुशन,कुशन,0
देखा,देखा,0
उनका,उनका,0
है,है,0
है,है,0
माता,माता,0
बातें,बातें,0
हो,हो,0
माता,माता,0
स्पेन,स्पेन,0
रूस,रूस,0
संभावना,संभावना,0
और,और,0
फ़ाइनेंस,फ़ाइनेंस,0
केयर,केयर,0
रहती,रहती,0
हमारे,हमारे,0
इसलिए,इसलिए,0
होलती,होलती,0
अच्छा,अच्छा,0
जैसे,जैसे,0
की,की,0
दें,दें,0
है,है,0
हो,हो,0
से,से,0
घरेलू,घरेलू,0
काफ़ी,काफ़ी,0
पर्यटकों,पर्यटकों,0
मिलेगी,मिलेगी,0
गहने,गहने,0
हमारा,हमारा,0
भी,भी,0
करवाते,करवाते,0
छोटी,छोटी,0
खेत,खेत,0
से,से,0
प्रत्येक,प्रत्येक,0
राउंड,राउंड,0
वी,वी,0
नहीं,नहीं,0
फ़ायदा,फ़ायदा,0
बारे,बारे,0
बताया,बताया,0
